Chord,Fixed_Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
"Ab:(3,b5,b7)",Ab:7(#11),10,0,10,0,0
E:min6/6,E:min6/6,10,0,6,4,0
"B:9(13,#11)","B:9(13,#11)",10,0,10,0,0
E:minmaj7,E:minmaj7,10,0,10,0,0
C#:min6,C#:min6,10,0,10,0,0
Gb:min9(11),Gb:min9(11),10,0,10,0,0
D:min(4)/4,D:min(4)/4,10,0,10,0,0
C#:maj7/5,C#:maj7/5,10,0,10,0,0
"Ab:maj9(11,13)","Ab:maj9(11,13)",10,0,10,0,0
A:min6/6,A:min6/6,10,0,10,0,0
B:9(11),B:9(11),10,0,10,0,0
D#:minmaj7,D#:minmaj7,10,0,10,0,0
A:min(9)/9,A:min(9)/9,10,0,10,0,0
Ab:maj(4)/4,Ab:maj(4)/4,10,0,10,0,0
"F:maj9(11,13)","F:maj9(11,13)",10,0,10,0,0
E:7(b6)/b6,E:7(b6)/b6,10,0,10,0,0
D:(5)/5,D:5/5,10,0,10,0,0
B:(5),B:5,10,0,9,1,0
G#:min(4)/4,G#:min(4)/4,10,0,10,0,0
C#:min(b6),C#:min(b6),10,0,10,0,0
Bb:maj9(#11)/7,Bb:maj9(#11)/7,10,0,10,0,0
F:maj(9)/3,F:maj(9)/3,10,0,10,0,0
D/6,D:maj/6,10,0,0,10,0
A/2,A:maj/2,10,0,0,10,0
F#/5,F#:maj/5,10,0,0,10,0
Ab/5,Ab:maj/5,10,0,0,10,0
Db:maj6/2,Db:maj6/2,10,0,0,10,0
"Db:(3,5,b7,b9)",Db:7(b9),10,0,0,0,10
"G:(3,5,b7,b9)/3",G:7(b9)/3,10,0,0,0,10
"A:(4,5,b7)",A:sus4,10,0,0,0,10
Ab:maj7/3,Ab:maj7/3,9,8,0,1,0
C:min6/b3,C:min6/b3,9,5,3,0,1
G:maj7/2,G:maj7/2,9,9,0,0,0
F#:maj(9),F#:maj(9),9,2,6,1,0
Bb:min7/5,Bb:min7/5,9,0,9,0,0
"C:(3,b5,b7)",C:7(#11),9,0,9,0,0
Db:minmaj7,Db:minmaj7,9,0,9,0,0
B:maj(4)/4,B:maj(4)/4,9,0,9,0,0
D:hdim7/b5,D:hdim7/b5,9,0,9,0,0
C#:aug(b7),C#:aug(b7),9,0,9,0,0
"C:(3,b5,b7,b9)","C:7(b9,#11)",9,0,9,0,0
D#:7(b9),D#:7(b9),9,0,9,0,0
G:maj(b9)/b9,G:maj(b9)/b9,9,0,9,0,0
Db:maj7/5,Db:maj7/5,9,0,9,0,0
"E:aug(b7,b9)","E:aug(b7,b9)",9,0,9,0,0
B:maj7/5,B:maj7/5,9,0,9,0,0
C#:min/b3,C#:min/b3,9,0,9,0,0
G#:aug(b7),G#:aug(b7),9,0,9,0,0
"F#:aug(b7,#9)","F#:aug(b7,#9)",9,0,9,0,0
Gb:maj7/5,Gb:maj7/5,9,0,9,0,0
B:maj6(9),B:maj6(9),9,0,9,0,0
"G#:9(b13,11)","G#:9(b13,11)",9,0,9,0,0
"G:aug(b7,9)","G:aug(b7,9)",9,0,9,0,0
G#:(5),G#:5,9,0,9,0,0
G#:aug,G#:aug,9,0,2,7,0
F:min9(4)/4,F:min9(4)/4,9,0,9,0,0
E:min(4)/4,E:min(4)/4,9,0,9,0,0
"D:(b3,#5)",D:min,9,0,9,0,0
Eb:min6(4)/4,Eb:min6(4)/4,9,0,9,0,0
G:maj7(b6)/b6,G:maj7(b6)/b6,9,0,9,0,0
E/7,E:maj/7,9,0,0,9,0
A:(1),A:maj,9,0,0,9,0
E:(1),E:maj,9,0,0,9,0
"G:(1,5)",G:5,9,0,0,9,0
Ab/7,Ab:maj/7,9,0,0,9,0
"A:(1,5)",A:5,9,0,0,9,0
G:maj6/2,G:maj6/2,9,0,0,9,0
D:maj/b9,D:maj/b9,9,0,0,0,9
"Eb:(3,5,b7,#9)",Eb:7(#9),9,0,0,0,9
"Bb:(3,5,b7,#9)",Bb:7(#9),9,0,0,0,9
"D:(3,#5,b7)",D:aug,9,0,0,0,9
"A:(3,5,b7,9,11,b13)","A:7(9,11,b13)",9,0,0,0,9
"E:(b3,5,b7,9,11)","E:min7(9,11)",9,0,0,0,9
"Eb:(4,5,b7,9,11,13)","Eb:sus4(9,11,13)",9,0,0,0,9
"A:sus4(b7,9,13)","A:sus4(b7,9,13)",8,8,0,0,0
Db:maj/b7,Db:maj/b7,8,8,0,0,0
F#:maj(9)/3,F#:maj(9)/3,8,1,7,0,0
C:13,C:13,8,8,0,0,0
Eb:maj/7,Eb:maj/7,8,8,0,0,0
G#:maj/b2,G#:maj/b2,8,8,0,0,0
D:(11),D:maj(11),8,8,0,0,0
A:maj6/5,A:maj6/5,8,8,0,0,0
A#:dim,A#:dim,8,7,1,0,0
Gb:(b7),Gb:maj,8,8,0,0,0
Cb:9,B:9,8,2,6,0,0
G#:sus4,G#:sus4,8,4,4,0,0
E:min(b13),E:min(b13),8,8,0,0,0
D:maj6/2,D:maj6/2,8,8,0,0,0
C:min(9),C:min(9),8,6,0,2,0
A:5/4,A:5/4,8,8,0,0,0
Ab:maj6/5,Ab:maj6/5,8,4,4,0,0
F:sus4/5,F:sus4/5,8,8,0,0,0
G#:min(11),G#:min(11),8,8,0,0,0
C#:5(b7),C#:5(b7),8,8,0,0,0
D:sus4(b7)/5,D:sus4(b7)/5,8,8,0,0,0
Db:maj(11),Db:maj(11),8,8,0,0,0
A:5(b7)/b7,A:5(b7)/b7,8,8,0,0,0
Bb:min11,Bb:min11,8,8,0,0,0
Ab:sus4/5,Ab:sus4/5,8,8,0,0,0
C#:maj/b4,C#:maj/b4,8,8,0,0,0
E:sus4/2,E:sus4/2,8,8,0,0,0
G:5/4,G:5/4,8,8,0,0,0
"Bb:sus4(b7,b13,11)","Bb:sus4(b7,b13,11)",8,0,8,0,0
"F:aug(b7,#9)","F:aug(b7,#9)",8,0,8,0,0
"Bb:sus4(b7,b9)","Bb:sus4(b7,b9)",8,0,8,0,0
Ab:dim7(5)/5,Ab:dim7(5)/5,8,0,8,0,0
Bb:maj6/3,Bb:maj6/3,8,0,8,0,0
"C#:(3,b5,b7,b9,b13)","C#:7(b9,b13,#11)",8,0,8,0,0
"B:(3,b5,b7,9)","B:7(9,#11)",8,0,8,0,0
"B:7(11,b9,13)","B:7(11,b9,13)",8,0,8,0,0
Bb:min9(11),Bb:min9(11),8,0,8,0,0
A:7(b9)/b9,A:7(b9)/b9,8,0,8,0,0
Bb:min(b6),Bb:min(b6),8,0,8,0,0
D:min6(9),D:min6(9),8,0,8,0,0
F:sus4(6)/6,F:sus4(6)/6,8,0,8,0,0
C#:min9/5,C#:min9/5,8,0,8,0,0
"F#:9(13,#11)","F#:9(13,#11)",8,0,8,0,0
"F#:aug(b7,b9)","F#:aug(b7,b9)",8,0,8,0,0
E:min9/b7,E:min9/b7,8,0,8,0,0
"F:sus4(b7,13,11,9)","F:sus4(b7,13,11,9)",8,0,8,0,0
G:aug(6)/6,G:aug(6)/6,8,0,8,0,0
B:min6/5,B:min6/5,8,0,8,0,0
"E:aug(b7,#9)","E:aug(b7,#9)",8,0,8,0,0
Bb:maj6/6,Bb:maj6/6,8,0,8,0,0
E:maj(b5)/b5,E:maj(#11)/b5,8,0,8,0,0
"E:maj9(11,13)","E:maj9(11,13)",8,0,8,0,0
G:maj(2)/3,G:maj(2)/3,8,0,8,0,0
C:maj(2)/3,C:maj(2)/3,8,0,8,0,0
Db:maj6/6,Db:maj6/6,8,0,8,0,0
"B:7(#11,b9)","B:7(#11,b9)",8,0,8,0,0
"Ab:(2,5)",Ab:sus2,8,0,8,0,0
Bb:min6/b3,Bb:min6/b3,8,0,8,0,0
C#:(5),C#:5,8,0,8,0,0
"B:maj9(11,13)","B:maj9(11,13)",8,0,8,0,0
Cb:maj9/9,B:maj9/9,8,0,8,0,0
"Eb:sus4(b7,13,11,9)","Eb:sus4(b7,13,11,9)",8,0,8,0,0
F:min6(9),F:min6(9),8,0,8,0,0
Eb:9(#9)/9,Eb:9(#9)/9,8,0,8,0,0
D#:maj9(b5)/b5,D#:maj9(b5)/b5,8,0,8,0,0
G:minmaj7/7,G:minmaj7/7,8,0,8,0,0
D:dim7(b1)/b1,D:dim7(b1)/b1,8,0,8,0,0
D:min7(4)/b7,D:min7(4)/b7,8,0,0,8,0
F/6,F:maj/6,8,0,0,8,0
B:hdim7/b7,B:hdim7/b7,8,0,0,8,0
G:min(9),G:min(9),8,0,0,8,0
C/b7,C:maj/b7,8,0,0,8,0
Ab/2,Ab:maj/2,8,0,0,8,0
Db:min7/4,Db:min7/4,8,0,0,0,8
"Ab:(3,5,b7,#9)",Ab:7(#9),8,0,0,0,8
"E:(3,5,b7,#9)",E:7(#9),8,0,0,0,8
"F:(3,5,b7,9,11,13)","F:7(9,11,13)",8,0,0,0,8
"Gb:(3,5,b7,9,11,13)","Gb:7(9,11,13)",8,0,0,0,8
"C:(b3,5,7,9,11,13)","C:min(9,11,13)",8,0,0,0,8
"C:(b3,5,7,9,#11)","C:min(9,#11)",8,0,0,0,8
"B:(3,#5,7,9)",B:aug(9),8,0,0,0,8
"Bb:(b3,5,b7,9,11,13)","Bb:min7(9,11,13)",8,0,0,0,8
"G:(b3,5,6,9)","G:min(6,9)",8,0,0,0,8
F:maj(9)/5,F:maj(9)/5,7,5,0,2,0
E:maj7/5,E:maj7/5,7,2,5,0,0
A:sus4(9),A:sus4(9),7,7,0,0,0
D:maj6/3,D:maj6/3,7,7,0,0,0
B:dim/b7,B:dim/b7,7,7,0,0,0
C#:7(b9)/3,C#:7(b9)/3,7,7,0,0,0
D:sus2(b7),D:sus2(b7),7,7,0,0,0
C:sus4/4,C:sus4/4,7,6,0,1,0
G:hdim7/b5,G:hdim7/b5,7,1,6,0,0
G:maj6/b5,G:maj6/b5,7,7,0,0,0
A:5/6,A:5/6,7,7,0,0,0
B:5/5,B:5/5,7,7,0,0,0
Gb:maj13,Gb:maj13,7,7,0,0,0
G#:1/1,G#:1/1,7,7,0,0,0
"Db:(3,b5,b7,b9,b13)","Db:7(b9,b13,#11)",7,0,4,0,3
Bb:aug(7),Bb:aug(7),7,0,7,0,0
C:aug(7),C:aug(7),7,0,7,0,0
D:min(b6),D:min(b6),7,0,7,0,0
"Eb:aug(b7,#9)","Eb:aug(b7,#9)",7,0,7,0,0
"A:(3,b5,b7,b9)","A:7(b9,#11)",7,0,7,0,0
C:min7/5,C:min7/5,7,0,7,0,0
Gb:hdim7,Gb:hdim7,7,0,5,0,2
A:maj(b6)/b6,A:maj(b6)/b6,7,0,7,0,0
"C:7(11,b9,13)","C:7(11,b9,13)",7,0,7,0,0
E:minmaj7/7,E:minmaj7/7,7,0,7,0,0
"E:9(13,#11)","E:9(13,#11)",7,0,7,0,0
"Ab:aug(b7,b9)","Ab:aug(b7,b9)",7,0,7,0,0
C:maj9(#11)/7,C:maj9(#11)/7,7,0,7,0,0
"G:9(13,#11)","G:9(13,#11)",7,0,7,0,0
C:maj7(#5)/5,C:maj7(#5)/5,7,0,7,0,0
D:maj6/6,D:maj6/6,7,0,7,0,0
G#:7/5,G#:7/5,7,0,4,0,3
D#:sus4,D#:sus4,7,0,7,0,0
E:dim/b3,E:dim/b3,7,0,6,1,0
C:min(9)/9,C:min(9)/9,7,0,7,0,0
"F#:(3,b5,b7)",F#:7(#11),7,0,7,0,0
"F#:(2,5)",F#:sus2,7,0,7,0,0
D#:aug,D#:aug,7,0,2,5,0
Bb:min6(4)/4,Bb:min6(4)/4,7,0,7,0,0
C:9(*3),C:9(3),7,0,0,7,0
D:maj(2),D:maj(2),7,0,0,7,0
"F#:(1,5)",F#:5,7,0,0,7,0
E:maj(4),E:maj(4),7,0,0,7,0
F/2,F:maj/2,7,0,0,7,0
"C:(3,5,b7,9,#11)","C:7(9,#11)",7,0,0,0,7
"F:(4,5,b7,9)",F:sus4(9),7,0,0,0,7
"C:(3,5,7,9,#11)","C:maj7(9,#11)",7,0,0,0,7
"Eb:(4,5,b7,9)",Eb:sus4(9),7,0,0,0,7
"Bb:(b3,5,b7,9,11)","Bb:min7(9,11)",7,0,0,0,7
C#:min/3,C#:min/3,6,6,0,0,0
E:maj(9)/3,E:maj(9)/3,6,3,3,0,0
A:dim/b5,A:dim/b5,6,4,0,2,0
Ab:7(b13),Ab:7(b13),6,6,0,0,0
D:maj7(#11),D:maj7(#11),6,6,0,0,0
B:7(b13),B:7(b13),6,6,0,0,0
D:min(b13),D:min(b13),6,6,0,0,0
F#:sus4/b7,F#:sus4/b7,6,6,0,0,0
A:maj(#9),A:maj(#9),6,6,0,0,0
F:maj/b7,F:maj/b7,6,6,0,0,0
F#:min(b13),F#:min(b13),6,6,0,0,0
Db:5(b7),Db:5(b7),6,6,0,0,0
Eb:min(b13),Eb:min(b13),6,6,0,0,0
C:min7(11),C:min7(11),6,6,0,0,0
A:min7/4,A:min7/4,6,6,0,0,0
B:7(#11),B:7(#11),6,6,0,0,0
Bb:min7(11),Bb:min7(11),6,6,0,0,0
"C:aug(b7,9)","C:aug(b7,9)",6,1,5,0,0
E:7/b3,E:7/b3,6,6,0,0,0
G:maj/7,G:maj/7,6,6,0,0,0
E:min/4,E:min/4,6,5,0,1,0
Db:maj13,Db:maj13,6,6,0,0,0
Cb:7(#11),B:7(#11),6,6,0,0,0
A#:maj,A#:maj,6,2,4,0,0
C#:min9/b7,C#:min9/b7,6,6,0,0,0
A:7(b9)/3,A:7(b9)/3,6,2,4,0,0
Ab:maj9(#11)/7,Ab:maj9(#11)/7,6,0,6,0,0
Eb:min9(11)/5,Eb:min9(11)/5,6,0,6,0,0
"F#:(3,b5,b7,9)","F#:7(9,#11)",6,0,6,0,0
"F:(3,b5,b7,9)","F:7(9,#11)",6,0,6,0,0
F:7(#9)/5,F:7(#9)/5,6,0,6,0,0
"F#:7(11,b9,13)","F#:7(11,b9,13)",6,0,6,0,0
Bb:maj(#4)/#4,Bb:maj(#4)/#4,6,0,6,0,0
F:minmaj7/5,F:minmaj7/5,6,0,6,0,0
"G#:aug(b7,#9)","G#:aug(b7,#9)",6,0,6,0,0
Gb:7(#9),Gb:7(#9),6,0,6,0,0
Bb:min6/5,Bb:min6/5,6,0,6,0,0
"Ab:9(b13,11)","Ab:9(b13,11)",6,0,6,0,0
A:maj7/3,A:maj7/3,6,0,6,0,0
D:min6/b3,D:min6/b3,6,0,6,0,0
"C#:9(b13,11)","C#:9(b13,11)",6,0,6,0,0
"B:aug(b7,b9)","B:aug(b7,b9)",6,0,6,0,0
"B:(3,b5,b7,b9,b13)/b4","B:7(b9,b13,#11)/b4",6,0,6,0,0
"F#:sus4(b7,13,11,9)","F#:sus4(b7,13,11,9)",6,0,6,0,0
Db:7(#6)/#6,Db:7(#6)/#6,6,0,6,0,0
G:min6(b7)/6,G:min6(b7)/6,6,0,6,0,0
"E:7(b13,b9,11)","E:7(b13,b9,11)",6,0,6,0,0
"F:sus4(b7,b9)","F:sus4(b7,b9)",6,0,6,0,0
Eb:min6(9),Eb:min6(9),6,0,6,0,0
B:7(b3)/3,B:7(b3)/3,6,0,6,0,0
G#:9,G#:9,6,0,4,0,2
E:9/9,E:9/9,6,0,6,0,0
A:maj6/6,A:maj6/6,6,0,6,0,0
F#:9/9,F#:9/9,6,0,6,0,0
B:min6/6,B:min6/6,6,0,6,0,0
B:min(b6)/b6,B:min(b6)/b6,6,0,6,0,0
Gb:aug,Gb:aug,6,0,6,0,0
Gb:sus4,Gb:sus4,6,0,6,0,0
"A#:9(b13,11)","A#:9(b13,11)",6,0,6,0,0
"C:(2,5)",C:sus2,6,0,6,0,0
C#:min(9)/9,C#:min(9)/9,6,0,6,0,0
G#:7(b3)/b3,G#:7(b3)/b3,6,0,6,0,0
Eb:9(11),Eb:9(11),6,0,6,0,0
Bb:maj(4)/4,Bb:maj(4)/4,6,0,6,0,0
F#:min(b1)/b1,F#:min(b1)/b1,6,0,6,0,0
C#:min7/5,C#:min7/5,6,0,6,0,0
C#:min7(b5)/b5,C#:min7(b5)/b5,6,0,6,0,0
Bb:min9/b3,Bb:min9/b3,6,0,6,0,0
Gb:maj(#6)/#6,Gb:maj(#6)/#6,6,0,6,0,0
F:7(b3)/3,F:7(b3)/3,6,0,6,0,0
A:(5)/b9,A:5/b9,6,0,6,0,0
G:(5)/9,G:5/9,6,0,6,0,0
A:(5)/5,A:5/5,6,0,6,0,0
F:(5)/7,F:5/7,6,0,6,0,0
Gb:maj7/7,Gb:maj7/7,6,0,6,0,0
"Ab:aug(b7,#9)","Ab:aug(b7,#9)",6,0,6,0,0
G:maj9/9,G:maj9/9,6,0,6,0,0
"Bb:(3,b5,b7,#9)","Bb:7(#9,#11)",6,0,6,0,0
C/9,C:maj/9,6,0,0,6,0
E:min/6,E:min/6,6,0,0,6,0
B:min/7,B:min/7,6,0,0,6,0
D:(1),D:maj,6,0,0,6,0
E/b7,E:maj/b7,6,0,0,6,0
G:maj/9,G:maj/9,6,0,0,6,0
B:min7(9),B:min7(9),6,0,0,6,0
C:maj7(9),C:maj7(9),6,0,0,6,0
Eb/2,Eb:maj/2,6,0,0,6,0
C:maj(#4)/5,C:maj(#4)/5,6,0,0,6,0
"E:(3,5,b7,9,#11)","E:7(9,#11)",6,0,0,0,6
E:7/9,E:7/9,6,0,0,0,6
Eb:min/4,Eb:min/4,6,0,0,0,6
"D:(3,5,b7,#9,#11)","D:7(#9,#11)",6,0,0,0,6
C:maj/b6,C:maj/b6,6,0,0,0,6
"C:(4,5,b7,9)",C:sus4(9),6,0,0,0,6
"Bb:maj6(7,#11)","Bb:maj6(7,#11)",5,5,0,0,0
A:dim/b3,A:dim/b3,5,4,0,1,0
Eb:maj/2,Eb:maj/2,5,5,0,0,0
Db:maj/4,Db:maj/4,5,5,0,0,0
Db:7/5,Db:7/5,5,2,3,0,0
F#:min/7,F#:min/7,5,5,0,0,0
F:maj13,F:maj13,5,5,0,0,0
Bb:5/2,Bb:5/2,5,5,0,0,0
F:maj/7,F:maj/7,5,5,0,0,0
E:aug(7),E:aug(7),5,1,4,0,0
Db:(b7),Db:maj,5,5,0,0,0
Bb:hdim7/b5,Bb:hdim7/b5,5,5,0,0,0
Cb:maj/2,B:maj/2,5,5,0,0,0
Ab:sus2(b7),Ab:sus2(b7),5,5,0,0,0
G:min11,G:min11,5,5,0,0,0
C#:min11/b3,C#:min11/b3,5,5,0,0,0
C:7(11),C:7(11),5,5,0,0,0
D:7/b4,D:7/b4,5,5,0,0,0
G:7/b3,G:7/b3,5,3,0,2,0
"G:sus4(b7,9,13)","G:sus4(b7,9,13)",5,5,0,0,0
E:9/3,E:9/3,5,5,0,0,0
Eb:min13,Eb:min13,5,5,0,0,0
G:sus4/4,G:sus4/4,5,4,1,0,0
B:aug(b7)/3,B:aug(b7)/3,5,5,0,0,0
B:aug/5,B:aug/5,5,5,0,0,0
Db:maj7/3,Db:maj7/3,5,0,5,0,0
"Eb:9(b13,11)","Eb:9(b13,11)",5,0,5,0,0
F:dim7(5)/5,F:dim7(5)/5,5,0,5,0,0
"D:(3,b5,b7,b9)","D:7(b9,#11)",5,0,5,0,0
"Bb:7(#11,b9)","Bb:7(#11,b9)",5,0,5,0,0
"F:aug(b7,b9)","F:aug(b7,b9)",5,0,5,0,0
Bb:min6(9)/9,Bb:min6(9)/9,5,0,5,0,0
F:min6(9)/9,F:min6(9)/9,5,0,5,0,0
F#:min7(4)/4,F#:min7(4)/4,5,0,5,0,0
E:maj(b6)/b6,E:maj(b6)/b6,5,0,5,0,0
G:maj(b6)/b6,G:maj(b6)/b6,5,0,5,0,0
"Db:9(b13,11)","Db:9(b13,11)",5,0,5,0,0
G:7(b9)/5,G:7(b9)/5,5,0,5,0,0
"E:7(#11,#9)","E:7(#11,#9)",5,0,5,0,0
B:maj(9)/3,B:maj(9)/3,5,0,5,0,0
A#:7,A#:7,5,0,5,0,0
D:9(11),D:9(11),5,0,4,1,0
E:maj7/3,E:maj7/3,5,0,5,0,0
"Gb:sus4(b7,9)","Gb:sus4(b7,9)",5,0,5,0,0
G:min6/6,G:min6/6,5,0,5,0,0
"C#:7(11,b9,13)","C#:7(11,b9,13)",5,0,5,0,0
"Eb:7(11,b9,13)","Eb:7(11,b9,13)",5,0,5,0,0
G:min6(9),G:min6(9),5,0,5,0,0
D:9/9,D:9/9,5,0,5,0,0
A:maj(b3)/3,A:maj(b3)/3,5,0,5,0,0
"G:maj9(11,13)","G:maj9(11,13)",5,0,5,0,0
A:maj(2)/3,A:maj(2)/3,5,0,5,0,0
B:min(4)/4,B:min(4)/4,5,0,5,0,0
Db:maj(#6)/#6,Db:maj(#6)/#6,5,0,5,0,0
G#:maj(b4)/b4,G#:maj(b4)/b4,5,0,5,0,0
B:7(6)/6,B:7(6)/6,5,0,5,0,0
E:maj6/3,E:maj6/3,5,0,5,0,0
A:(5)/7,A:5/7,5,0,5,0,0
A:(5)/9,A:5/9,5,0,5,0,0
G:maj9(#11)/7,G:maj9(#11)/7,5,0,5,0,0
Cb:maj6(9),B:maj6(9),5,0,5,0,0
D:hdim7(4)/4,D:hdim7(4)/4,5,0,5,0,0
C#:maj(9)/9,C#:maj(9)/9,5,0,5,0,0
B:7(b5)/b5,B:7(#11)/b5,5,0,5,0,0
"Db:9(13,#11)","Db:9(13,#11)",5,0,5,0,0
Bb:maj9(#11)/3,Bb:maj9(#11)/3,5,0,5,0,0
G:dim7(b9)/b9,G:dim7(b9)/b9,5,0,5,0,0
F#:maj(b9)/b9,F#:maj(b9)/b9,5,0,5,0,0
"Bb:7(b13,b9,11)","Bb:7(b13,b9,11)",5,0,5,0,0
"Eb:(3,b5,b7,b9,b13)","Eb:7(b9,b13,#11)",5,0,1,0,4
D#,D#:maj,5,0,0,5,0
D:maj(*1)/#1,D:maj/#1,5,0,0,5,0
F:maj/9,F:maj/9,5,0,0,5,0
G:sus4(2),G:sus4(2),5,0,0,5,0
Ab:maj(2)/2,Ab:maj(2)/2,5,0,0,5,0
C#:maj7/3,C#:maj7/3,5,0,0,5,0
D:min(6),D:min(6),5,0,0,5,0
"B:(1,5)",B:5,5,0,0,5,0
F:(1),F:maj,5,0,0,5,0
F:min(6),F:min(6),5,0,0,5,0
D:sus4(2),D:sus4(2),5,0,0,5,0
E:min7(4),E:min7(4),5,0,0,5,0
C#:dim/b3,C#:dim/b3,5,0,0,5,0
Eb:maj/#1,Eb:maj/#1,5,0,0,0,5
"B:(3,5,b7,9,11,13)","B:7(9,11,13)",5,0,0,0,5
"E:(3,5,6,9,#11)","E:maj(6,9,#11)",5,0,0,0,5
Eb:min9/4,Eb:min9/4,5,0,0,0,5
"G:(3,5,b7,9,#11)","G:7(9,#11)",5,0,0,0,5
"Db:(3,5,7,9,#11)/7","Db:maj7(9,#11)/7",5,0,0,0,5
"Db:(3,5,b7,9,11,13)","Db:7(9,11,13)",5,0,0,0,5
"B:(4,5,b7)",B:sus4,5,0,0,0,5
G:9(b13),G:9(b13),4,4,0,0,0
Ab:maj6/2,Ab:maj6/2,4,4,0,0,0
B:min(9),B:min(9),4,4,0,0,0
Gb:maj(9)/2,Gb:maj(9)/2,4,4,0,0,0
Eb:7(b9)/3,Eb:7(b9)/3,4,2,2,0,0
"A:7(b9,b13)","A:7(b9,b13)",4,4,0,0,0
Ab:dim7/2,Ab:dim7/2,4,4,0,0,0
D:maj(b9),D:maj(b9),4,4,0,0,0
F:13,F:13,4,4,0,0,0
Bb:13,Bb:13,4,4,0,0,0
D#:dim/b2,D#:dim/b2,4,4,0,0,0
"Eb:7(b13,#9)","Eb:7(b13,#9)",4,4,0,0,0
A:9(13),A:9(13),4,4,0,0,0
D:sus2/2,D:sus2/2,4,4,0,0,0
Ab:min(11),Ab:min(11),4,4,0,0,0
Cb:1/1,B:1/1,4,4,0,0,0
Gb:maj(11),Gb:maj(11),4,4,0,0,0
"F:(b5,11)",F:maj(11),4,4,0,0,0
Bb:5(b7)/5,Bb:5(b7)/5,4,4,0,0,0
Bb:sus4(b7)/4,Bb:sus4(b7)/4,4,4,0,0,0
Ab:min(9),Ab:min(9),4,4,0,0,0
F:aug(9),F:aug(9),4,4,0,0,0
E:min/2,E:min/2,4,4,0,0,0
E:min9/b3,E:min9/b3,4,4,0,0,0
E:min9/4,E:min9/4,4,4,0,0,0
Bb:maj7/2,Bb:maj7/2,4,3,0,1,0
G:7/4,G:7/4,4,4,0,0,0
Bb:maj/6,Bb:maj/6,4,4,0,0,0
B:11,B:11,4,4,0,0,0
F:maj6(9)/3,F:maj6(9)/3,4,4,0,0,0
"D:maj6(b7,11)","D:maj6(b7,11)",4,4,0,0,0
E:7(b13)/3,E:7(b13)/3,4,4,0,0,0
E:maj/b5,E:maj/b5,4,4,0,0,0
C:sus2/5,C:sus2/5,4,4,0,0,0
A:(#5),A:maj,4,4,0,0,0
B:maj7(b7)/3,B:maj7(b7)/3,4,4,0,0,0
Bb:min(9)/9,Bb:min(9)/9,4,0,4,0,0
"Bb:aug(b7,b9)","Bb:aug(b7,b9)",4,0,4,0,0
"A:aug(b7,9)","A:aug(b7,9)",4,0,4,0,0
E:maj(b9)/b9,E:maj(b9)/b9,4,0,4,0,0
Db:aug(b7),Db:aug(b7),4,0,4,0,0
B:maj(b6)/b6,B:maj(b6)/b6,4,0,4,0,0
"F:7(#11,#9)","F:7(#11,#9)",4,0,4,0,0
D#:min9(11),D#:min9(11),4,0,4,0,0
Ab:min6/b3,Ab:min6/b3,4,0,4,0,0
D:maj(b9)/b9,D:maj(b9)/b9,4,0,4,0,0
"G#:(3,b5,b7,b9,b13)","G#:7(b9,b13,#11)",4,0,4,0,0
Ab:maj6/3,Ab:maj6/3,4,0,4,0,0
"D:sus4(b7,b9)","D:sus4(b7,b9)",4,0,4,0,0
Gb:maj(#4)/#4,Gb:maj(#4)/#4,4,0,4,0,0
"F#:7(4,b9)/4","F#:7(4,b9)/4",4,0,4,0,0
A:aug(7),A:aug(7),4,0,4,0,0
"G#:7(b13,b9,11)","G#:7(b13,b9,11)",4,0,4,0,0
"B:7(#9,b6)/b6","B:7(#9,b6)/b6",4,0,4,0,0
Bb:7(6)/6,Bb:7(6)/6,4,0,4,0,0
G:min6/b3,G:min6/b3,4,0,4,0,0
C#:7/5,C#:7/5,4,0,4,0,0
Cb:maj6(9)/5,B:maj6(9)/5,4,0,4,0,0
Cb:min6(9)/5,B:min6(9)/5,4,0,4,0,0
D#:maj7,D#:maj7,4,0,4,0,0
"E:sus4(b7,b9)","E:sus4(b7,b9)",4,0,4,0,0
"Ab:aug(b7,9)","Ab:aug(b7,9)",4,0,4,0,0
E:min9/9,E:min9/9,4,0,4,0,0
F#:min9/b7,F#:min9/b7,4,0,4,0,0
D:9/5,D:9/5,4,0,3,1,0
Db:7(#4)/#4,Db:7(#4)/#4,4,0,4,0,0
Eb:maj9/9,Eb:maj9/9,4,0,4,0,0
C:9/3,C:9/3,4,0,4,0,0
"Ab:(3,b5,b7,b9)","Ab:7(b9,#11)",4,0,4,0,0
Eb:min6/b3,Eb:min6/b3,4,0,4,0,0
A#:min7(b6)/b6,A#:min7(b6)/b6,4,0,4,0,0
C#:maj(4)/4,C#:maj(4)/4,4,0,4,0,0
A:min6/5,A:min6/5,4,0,4,0,0
G#:maj(9),G#:maj(9),4,0,4,0,0
D:min(#1)/#1,D:min(#1)/#1,4,0,4,0,0
F:min(9)/9,F:min(9)/9,4,0,4,0,0
Bb:min7/b3,Bb:min7/b3,4,0,4,0,0
Gb:min6(#9)/#9,Gb:min6(#9)/#9,4,0,4,0,0
D:7(#1)/#1,D:7(#1)/#1,4,0,4,0,0
G:sus4(b7)/b7,G:sus4(b7)/b7,4,0,4,0,0
E:maj6(9)/9,E:maj6(9)/9,4,0,4,0,0
